"Data compilation used in calculation of N budget, organized by year of publication. ",,,,,,,,,,,,,,,,,,
Geologic Setting abbreviations:  O = Oceanic; C = Continental; S = Sediment; L = Lithosphere; A = altered (<300°C); M = metamorphosed (>300 °C); M = primary mantle volcanics; X = xenoliths; OIB = Ocean Isl_and_ Basalt; VV= Volcanic volatiles,,,,,,,,,,,,,,,,,,
Rock name abbreviations: BIF = b_and_ed iron formation; MORB = mid-ocean ridge basalt; OIB = ocean isl_and_ basalt; F = fluid; G = gas,,,,,,,,,,,,,,,,,,
"Columns show, in order, References/notes, Sample name as used in original study, geologic setting (assigned by us), rock type (after original study), Age (Ga), δ15N _and_ error, N concentration (ppm), δ 13 C, Yb, Lu, _and_ Rb concentration (ppm), K2O (wt. %), _and_ Ar data where available  ",,,,,,,,,,,,,,,,,,
Full references are in the Supplementary References document. ,,,,,,,,,,,,,,,,,,
Source/Notes,Sample Name,Geologic Setting,Rock Type,Year Published,Age,delta15N,error,N(ppm),delta13C,Yb,Lu,K2O (WT. %),Rb (ppm),40Ar/36Ar,36Ar (mol/g),Ar total (mol/g),N2/36Ar,N2/40Ar
,4_5,MOS,Gneiss,1985,2,,,204,,,,,,,,,,
,4_6,MOS,Gneiss,1985,2,,,48,,,,,,,,,,
,4_7,MOS,Gneiss,1985,2,,,63,,,,,,,,,,
,4_8,MOS,Gneiss,1985,2,,,12,,,,,,,,,,
,5_3B,MOS,Gneiss,1985,2,,,3,,,,,,,,,,
,7_1,MOS,Schist,1985,2,,,155,,,,,,,,,,
,7_3A,MOS,Schist,1985,2,,,87,,,,,,,,,,
,7_4,MOS,Gneiss,1985,2,,,61,,,,,,,,,,
,7_5,MOS,Schist,1985,2,,,582,,,,,,,,,,
,9_6,MOS,Gneiss,1985,2,,,12,,,,,,,,,,
,2_1a,MOS,Schist,1985,2,,,3,,,,,,,,,,
,2_1b,MOS,Schist,1985,2,,,6,,,,,,,,,,
,4_1,MOS,Gneiss,1985,2,,,4,,,,,,,,,,
Gibson_et_al_1986,Isua,MOS,Chert,1986,3.8,1.8,,,-11.0,,,,,,,,,
Cherts measured by step heating,Warrawoona,MOS,Chert,1986,3.5,-0.5,,,-10.0,,,,,,,,,
between 700-900 deg C. ,Barberton,MOS,Chert,1986,3.2,1.0,,,,,,,,,,,,
Reported data read from graph,Manjeri,MOS,Chert,1986,2.6,2.0,,,-11.0,,,,,,,,,
,Hamersley,MOS,Chert,1986,2.5,,,,-9.0,,,,,,,,,
,Beck Spring,MOS,Chert,1986,1.3,0.5,,,,,,,,,,,,
,Rhynie,MOS,Chert,1986,0.4,0.5,,,,,,,,,,,,
,Magadi,MOS,Chert,1986,0.2,,,,,,,,,,,,,
Rigby_and_Batts_1986,Loy Yang,ACS,Coal,1986,0.02,0.5,,5000,,,,,,,,,,
Coals and oil shales from,Morwell,ACS,Coal,1986,0.02,0.8,,5700,,,,,,,,,,
Australia,Yallourn,ACS,Coal,1986,0.01,1.9,,4000,,,,,,,,,,
,Leigh Creek,ACS,Coal,1986,0.185,0.5,,8000,,,,,,,,,,
,Lake Phillipson,ACS,Coal,1986,0.26,3.7,,15500,,,,,,,,,,
,Millmerran,ACS,Coal,1986,0.316,1.6,,10000,,,,,,,,,,
,Wonthaggi,ACS,Coal,1986,0.12,1.8,,13200,,,,,,,,,,
,Bluff,ACS,Coal,1986,0.19,2.3,,10000,,,,,,,,,,
,Lagoon,ACS,Coal,1986,0.19,3.1,,10000,,,,,,,,,,
,Styx,ACS,Coal,1986,0.1,1.0,,12000,,,,,,,,,,
,Liddell,ACS,Coal,1986,0.26,2.5,,18600,,,,,,,,,,
,Portl_and_,ACS,Coal,1986,0.1,1.2,,15000,,,,,,,,,,
,Nymboida,ACS,Coal,1986,0.19,0.3,,9000,,,,,,,,,,
,Collinsville,ACS,Coal,1986,0.24,1.7,,11000,,,,,,,,,,
,Wongawilli,ACS,Coal,1986,0.24,1.6,,17800,,,,,,,,,,
,Excel,ACS,Coal,1986,0.24,1.0,,20300,,,,,,,,,,
,Stockton,ACS,Coal,1986,0.05,1.3,,11400,,,,,,,,,,
,Beaver Lake,ACS,Coal,1986,0.24,3.0,,17000,,,,,,,,,,
,Tasmanite,ACS,Oil Shale,1986,0.27,12.7,,5800,,,,,,,,,,
,Mount Marangaroo,ACS,Oil Shale,1986,0.27,5.4,,3800,,,,,,,,,,
,Glen Davis,ACS,Oil Shale,1986,0.27,4.2,,5600,,,,,,,,,,
,Rundle,ACS,Oil Shale,1986,0.01,3.0,,2100,,,,,,,,,,
,Julia Creek,ACS,Oil Shale,1986,0.1,-0.7,,4700,,,,,,,,,,
,Bedourie-1,ACS,Oil Shale,1986,0.1,-0.5,,2200,,,,,,,,,,
,Tambo-31,ACS,Oil Shale,1986,0.1,1.7,,4300,,,,,,,,,,
